epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01066,1.55205,4.68082,2.82394,1.75953,0,0,0,0,0,0,0,0,3.95814,8.31233,4.89,2.95906,0,0,0
2,4.0923,0.82553,6.65303,2.59059,1.44581,0.00333,1,0.01442,0.00144,0,0,0,0,3.64831,7.50186,4.50303,2.80973,1.9604e-05,1.9604e-05,1.9604e-05
3,6.18659,0.72507,3.85458,2.85432,1.35032,0.00333,1,0.01843,0.00418,0,0,0,0,3.1203,7.22264,4.23475,2.58847,3.8416e-05,3.8416e-05,3.8416e-05
4,7.73664,0.9559,3.32271,2.63425,1.19782,0.00333,1,0.06219,0.0194,0.00333,1,0.0199,0.00398,1.99178,6.05859,3.92564,2.03203,5.6436e-05,5.6436e-05,5.6436e-05
5,8.9589,0.70568,3.56731,2.5404,1.03918,0.00333,1,0.06633,0.0398,0.00333,1,0.08292,0.03648,0.86902,4.45273,3.45453,1.44418,7.3664e-05,7.3664e-05,7.3664e-05
6,10.4742,0.56813,2.08757,2.23204,1.09799,0.00333,1,0.14214,0.06823,0.00333,1,0.12437,0.0796,0.42582,3.26548,3.1704,1.02908,9.01e-05,9.01e-05,9.01e-05
7,15.0375,0.71725,1.94041,2.1797,1.04186,0.00333,1,0.33167,0.33167,0.00333,1,0.33167,0.199,0.26061,2.09078,3.06267,0.81928,0.000105744,0.000105744,0.000105744
8,19.7446,0.49692,2.35729,2.15702,1.13804,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.25661,1.14572,3.047,0.67974,0.000120596,0.000120596,0.000120596
9,24.9482,0.8499,3.50344,3.34377,1.46421,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.26358,0.75905,3.01,0.6426,0.000134656,0.000134656,0.000134656
10,28.4636,0.25903,0.99844,1.82903,1.01388,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.2846,0.62564,3.00939,0.64826,0.000147924,0.000147924,0.000147924
11,29.8354,0.87754,1.8675,2.59107,1.42741,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.31922,0.81936,3.00637,0.67179,0.0001604,0.0001604,0.0001604
12,31.1015,0.94027,2.64409,3.05114,1.42387,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.796,0.46355,1.29136,3.07161,0.76807,0.000172084,0.000172084,0.000172084
13,32.4677,0.51624,1.24263,2.50934,1.11343,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.70894,0.60378,2.47872,2.95219,1.02457,0.000182976,0.000182976,0.000182976
14,33.7132,0.64782,2.47785,1.74096,1.06151,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.63964,0.65375,3.60338,2.94147,1.22343,0.000193076,0.000193076,0.000193076
15,35.6726,1.46524,4.422,2.38886,2.37525,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.70415,0.72164,2.2307,2.85011,1.37696,0.000202384,0.000202384,0.000202384
16,39.3063,0.55397,1.33687,1.5551,1.16141,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.796,0.51269,0.98944,2.85327,0.91759,0.0002109,0.0002109,0.0002109
17,43.7178,1.20521,0.76847,1.82168,1.42604,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.796,0.4633,0.643,2.84062,0.88287,0.000218624,0.000218624,0.000218624
18,47.7527,1.72406,3.29949,2.80854,1.75185,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.796,0.4633,0.643,2.84062,0.88287,0.000225556,0.000225556,0.000225556
19,52.2414,0.44147,0.6405,2.18353,1.14015,0.0075,1,0.995,0.995,0.0075,1,0.995,0.796,0.49184,0.62447,2.7826,0.90242,0.000231696,0.000231696,0.000231696
20,56.6795,0.90923,1.25261,1.69764,1.16183,0.0075,1,0.995,0.995,0.0075,1,0.995,0.796,0.49184,0.62447,2.7826,0.90242,0.000237044,0.000237044,0.000237044
21,61.4189,0.93868,1.38427,1.57592,1.15133,0.0088,1,0.995,0.995,0.0088,1,0.995,0.796,0.39669,0.61774,2.74817,0.81556,0.0002416,0.0002416,0.0002416
22,65.8613,1.09075,0.8037,1.01902,1.68431,0.0088,1,0.995,0.995,0.0088,1,0.995,0.796,0.39669,0.61774,2.74817,0.81556,0.000245364,0.000245364,0.000245364
23,70.6552,0.65292,1.30486,1.71428,1.03018,0.00803,1,0.995,0.8955,0.00803,1,0.995,0.8955,0.31908,0.47865,2.70883,0.76044,0.000248336,0.000248336,0.000248336
24,74.9933,0.97541,0.97834,1.98751,1.29025,0.00803,1,0.995,0.8955,0.00803,1,0.995,0.8955,0.31908,0.47865,2.70883,0.76044,0.000250516,0.000250516,0.000250516
25,80.1219,0.45454,0.75879,1.12765,0.89588,0.0079,1,0.995,0.995,0.0079,1,0.995,0.8955,0.32267,0.43491,2.6511,0.76168,0.000251904,0.000251904,0.000251904
26,85.0375,0.67585,0.68399,1.08049,1.14743,0.0079,1,0.995,0.995,0.0079,1,0.995,0.8955,0.32267,0.43491,2.6511,0.76168,0.0002525,0.0002525,0.0002525
