epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,89.865,1.57418,1.4862,2.24995,1.88035,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.31546,0.45434,2.6266,0.74474,0.000252304,0.000252304,0.000252304
28,94.3444,1.04348,1.19202,2.06254,1.59407,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.31546,0.45434,2.6266,0.74474,0.000251316,0.000251316,0.000251316
29,99.1356,0.73224,0.78133,1.73133,1.22186,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.26584,0.47116,2.76914,0.73054,0.000249536,0.000249536,0.000249536
30,103.531,0.46123,0.50467,1.08093,1.17683,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.26584,0.47116,2.76914,0.73054,0.000246964,0.000246964,0.000246964
31,108.278,1.12322,1.41823,2.22222,1.38694,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.3595,0.48496,2.7709,0.73645,0.0002436,0.0002436,0.0002436
32,112.664,0.57202,0.52481,1.49726,1.07402,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.3595,0.48496,2.7709,0.73645,0.000239444,0.000239444,0.000239444
33,117.34,0.73139,1.14537,1.1375,0.9946,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.3455,0.40228,2.77841,0.74811,0.000234496,0.000234496,0.000234496
34,121.712,0.92471,1.39317,1.0443,1.28465,0.00333,1,0.995,0.995,0.00333,1,0.995,0.8955,0.3455,0.40228,2.77841,0.74811,0.000228756,0.000228756,0.000228756
35,126.37,1.72934,1.24762,1.67257,1.75644,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.995,0.31638,0.33926,2.75416,0.73346,0.000222224,0.000222224,0.000222224
36,130.565,0.60608,0.59823,1.48662,1.04127,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.995,0.31638,0.33926,2.75416,0.73346,0.0002149,0.0002149,0.0002149
37,135.125,1.20414,1.34463,1.54539,1.35392,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.29819,0.34713,2.73075,0.67863,0.000206784,0.000206784,0.000206784
38,139.163,1.24832,0.91332,1.91396,1.94105,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.29819,0.34713,2.73075,0.67863,0.000197876,0.000197876,0.000197876
39,143.682,0.73166,0.48987,1.84156,1.39934,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.34852,0.37763,2.74319,0.68435,0.000188176,0.000188176,0.000188176
40,148.23,0.65891,0.57698,1.03646,1.2668,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.34852,0.37763,2.74319,0.68435,0.000177684,0.000177684,0.000177684
41,153.195,0.56566,0.72489,3.45922,1.31263,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.29624,0.40617,2.74849,0.65148,0.0001664,0.0001664,0.0001664
42,157.898,0.63019,0.34273,1.75564,1.22353,0.00333,1,0.995,0.8955,0.00333,1,0.995,0.8955,0.29624,0.40617,2.74849,0.65148,0.000154324,0.000154324,0.000154324
43,162.762,0.22587,0.33153,1.52302,1.12556,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.30601,0.39868,2.68812,0.64278,0.000141456,0.000141456,0.000141456
44,167.257,0.34801,0.4516,2.14052,1.18105,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.30601,0.39868,2.68812,0.64278,0.000127796,0.000127796,0.000127796
45,172.053,0.40111,0.48854,2.02132,1.17073,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.32722,0.38473,2.61901,0.65752,0.000113344,0.000113344,0.000113344
46,176.68,0.59737,0.54793,1.5646,1.33018,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.32722,0.38473,2.61901,0.65752,9.81e-05,9.81e-05,9.81e-05
47,181.074,0.32391,0.65947,1.66897,1.17155,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.37217,0.36816,2.54856,0.69989,8.2064e-05,8.2064e-05,8.2064e-05
48,183.369,0.41905,0.472,1.89282,1.24972,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.37217,0.36816,2.54856,0.69989,6.5236e-05,6.5236e-05,6.5236e-05
49,185.225,0.5688,0.53263,1.6168,1.03472,0.00685,1,0.995,0.995,0.00685,1,0.995,0.995,0.37055,0.35602,2.51371,0.69447,4.7616e-05,4.7616e-05,4.7616e-05
50,187.05,0.80138,0.56705,1.85471,1.85724,0.00685,1,0.995,0.995,0.00685,1,0.995,0.995,0.37055,0.35602,2.51371,0.69447,2.9204e-05,2.9204e-05,2.9204e-05
